01A,Afognak Lake Airport
BXU,Bancasi
BYA,Boundary Airport
BYC,Yacuiba Airport
BYF,Albert Bray
BYG,Johnson County
BYH,Arkansas International
BYI,Burley Municipal
BYK,Bouake Airport
BYN,Bayankhongor Airport
BYT,Bantry Airport
BYU,Bayreuth Airport
BYW,Blakely Island Airport
BZA,Bonanza Airport
BZE,Philip S. W. Goldson International
BZG,Szwederowo
BZI,Balikesir Airport
BZN,Bozeman Yellowstone International
BZO,Bolzano Airport
BZR,Vias
BZS,Buzzards Point Seaplane Base
BZT,Eagle Air Park
BZV,Maya Maya
BZZ,Brize Norton Airport
C01,Camarillo Airport
C02,Bakersfield Municipal
CA1,Koala Mine Airport
CA2,Lake Simcoe Regional
CA3,Thetford Mines Airport
CA4,Pelee Island Airport
CA5,Calgary Springbank
CA6,Chemehuevi Valley Airport
CAB,Cabinda Airport
CAC,Cascavel Airport
CAD,Wexford County
CAE,Columbia Metropolitan
CAF,Carauari Airport
CAG,Elmas
CAH,Ca Mau Airport
CAI,Cairo International
CAJ,Canaima Airport
CAK,Akron-Canton Regional
CAL,Campbeltown Airport
CAM,Choreti
CAN,Baiyun International
CAP,Cap-Haitien International
CAR,Caribou Municipal
CAS,Anfa
CAT,New Bight Airport
CAW,Bartolomeu Lisandro
CAX,Carlisle Airport
CAY,Cayenne Felix Eboue
CAZ,Cobar Airport
CBA,Corner Bay Airport
CBB,Jorge Wilstermann
CBE,Greater Cumberland Regional
CBF,Council Bluffs Municipal
CBG,Cambridge Airport
CBH,Bechar/Leger
CBK,Murray
CBL,Ciudad Bolivar Airport
CBM,Columbus AFB
CBO,Cotabato Airport
CBQ,Calabar Airport
CBR,Canberra Airport
CBV,Coban Airport
CBY,Canobie Airport
CCC,Jardines del Rey
CCE,Grand Case Airport
CCF,Salvaza
CCH,Chile Chico Airport
CCI,Concordia Airport
CCJ,Calicut Airport
CCK,Cocos Keeling Island
CCM,Criciuma
CCN,Chakhcharan Airport
CCP,Carriel Sur International
CCR,Buchanan Field
CCS,Simon Bolivar International
CCU,Netaji Subhash Chandra Bose International
CCX,Caceres Airport
CCY,Northeast Iowa Regional
CCZ,Chub Cay Airport
CDB,Cold Bay Airport
CDC,Cedar City Regional
CDF,Cortina d'Ampezzo Airport
CDG,Charles de Gaulle
CDH,Harrell Field
CDJ,Conceicao Do Araguaia Airport
CDL,Candle 2
CDN,Woodward Field
CDR,Chadron Municipal
CDV,Merle K Mudhole Smith
CDW,Essex County
CEA,Cessna Aircraft Field
CEB,Mactan-Cebu International
CEC,Jack McNamara Field
CED,Ceduna Airport
CEF,Westover ARB Metropolitan
CEG,Hawarden
CEI,Chiang Rai Airport
CEK,Balandino
CEL,Cape Eleuthera Airport
CEM,Central Airport
CEN,Ciudad Obregon International
CEO,Waco Kungo Airport
CEP,Concepcion Airport
CEQ,Mandelieu
CER,Maupertus
CET,Le Pontreau
CEU,Oconee County Regional
CEV,Mettel Field
CEW,Bob Sikes
CEX,Chena Hot Springs Airport
CEY,Kyle-Oakley Field
CEZ,Cortez Municipal
CFA,Coffee Point Airport
CFB,Cabo Frio Airport
CFE,Auvergne
CFG,Jaime Gonzalez
CFQ,Silver City Airport
CFR,Carpiquet
CFS,Coffs Harbour Airport
CFT,Greenlee County
CFU,Ioannis Kapodistrias International
CFV,Coffeyville Municipal
CGA,Craig Seaplane Base
CGB,Marechal Rondon International
CGC,Cape Gloucester Airport
CGE,Cambridge-Dorchester
CGF,Cuyahoga County
CGH,Congonhas
CGI,Cape Girardeau Regional
CGK,Soekarno-Hatta International
CGM,Camiguin Airport
CGN,Koln Bonn
CGO,Xinzheng
CGP,Chittagong Airport
CGQ,Longjia
CGR,Campo Grande International
CGS,College Park Airport
CGU,Ciudad Guayana Metropolitan Area
CGX,Meigs Field
CGY,Cagayan de Oro
CGZ,Casa Grande Municipal
CHA,Lovell Field
CHC,Christchurch International
CHD,Chandler Municipal
CHE,Caherciveen Reenroe
CHF,Jinhae
CHG,Chaoyang Airport
CHI,Chicago Metropolitan Area
CHL,Challis Airport
CHM,Teniente Jaime A. de Montreuil Morales
CHO,Charlottesville Albemarle
CHP,Circle Hot Springs Airport
CHQ,Souda
CHR,Chateauroux Airport
CHS,Charleston AFB/International
CHT,Chatham Islands Airport
CHU,Chuathbaluk Airport
CHW,Jiayuguan
CHX,Changuinola 1
CHZ,Chiloquin State
CIA,Ciampino
CIB,Catalina
CIC,Chico Municipal
CID,The Eastern Iowa
CIG,Craig-Moffat
CIH,Changzhi Airport
CIJ,Cobija Airport
